Dendrite: 0,Timestep 1 (Luminosity),Timestep 2 (Luminosity),Timestep 3 (Luminosity),Timestep 4 (Luminosity),Timestep 5 (Luminosity),Timestep 6 (Luminosity),Timestep 7 (Luminosity),Timestep 8 (Luminosity)
"[228.0, 173.0]",212.0,119.0,149.0,198.0,169.0,153.0,175.0,190.0
"[228.0, 173.0]",212.0,119.0,149.0,198.0,169.0,153.0,175.0,190.0
"[228.0, 175.0]",255.0,120.0,158.0,207.0,149.0,146.0,201.0,202.0
"[227.0, 176.0]",233.0,136.0,114.0,207.0,98.0,142.0,179.0,193.0
"[227.0, 176.0]",233.0,136.0,114.0,207.0,98.0,142.0,179.0,193.0
"[227.0, 177.0]",222.0,109.0,115.0,246.0,137.0,109.0,158.0,143.0
"[227.0, 179.0]",247.0,108.0,124.0,237.0,167.0,148.0,177.0,247.0
"[227.0, 180.0]",255.0,155.0,202.0,242.0,230.0,169.0,172.0,194.0
"[227.0, 180.0]",255.0,155.0,202.0,242.0,230.0,169.0,172.0,194.0
"[227.0, 182.0]",253.0,163.0,191.0,235.0,182.0,192.0,188.0,211.0
"[226.0, 183.0]",222.0,114.0,146.0,149.0,198.0,186.0,219.0,156.0
"[226.0, 183.0]",222.0,114.0,146.0,149.0,198.0,186.0,219.0,156.0
"[226.0, 185.0]",223.0,156.0,119.0,186.0,149.0,212.0,182.0,124.0
"[226.0, 185.0]",223.0,156.0,119.0,186.0,149.0,212.0,182.0,124.0
"[226.0, 187.0]",255.0,182.0,133.0,188.0,160.0,149.0,174.0,153.0
"[226.0, 188.0]",237.0,186.0,127.0,203.0,168.0,166.0,237.0,190.0
"[226.0, 189.0]",252.0,249.0,177.0,166.0,161.0,183.0,189.0,214.0
"[225.0, 189.0]",230.0,183.0,121.0,149.0,187.0,140.0,225.0,194.0
"[225.0, 191.0]",255.0,128.0,130.0,201.0,169.0,142.0,200.0,158.0
"[225.0, 192.0]",229.0,135.0,136.0,136.0,152.0,148.0,234.0,146.0
"[225.0, 193.0]",237.0,171.0,175.0,163.0,177.0,171.0,203.0,142.0
"[225.0, 193.0]",237.0,171.0,175.0,163.0,177.0,171.0,203.0,142.0
"[225.0, 195.0]",226.0,178.0,177.0,173.0,132.0,171.0,219.0,168.0
"[225.0, 195.0]",226.0,178.0,177.0,173.0,132.0,171.0,219.0,168.0
"[225.0, 197.0]",242.0,172.0,135.0,120.0,170.0,181.0,205.0,108.0
"[224.0, 198.0]",203.0,128.0,154.0,111.0,130.0,158.0,190.0,99.0
"[224.0, 198.0]",203.0,128.0,154.0,111.0,130.0,158.0,190.0,99.0
"[224.0, 199.0]",195.0,125.0,136.0,167.0,112.0,139.0,148.0,103.0
"[224.0, 201.0]",236.0,154.0,192.0,194.0,162.0,168.0,238.0,130.0
"[224.0, 202.0]",215.0,218.0,226.0,247.0,213.0,136.0,252.0,127.0
"[224.0, 203.0]",200.0,210.0,191.0,247.0,230.0,198.0,254.0,184.0
"[224.0, 204.0]",230.0,255.0,209.0,226.0,243.0,210.0,255.0,219.0
"[223.0, 205.0]",218.0,254.0,244.0,247.0,243.0,244.0,244.0,207.0
"[223.0, 206.0]",230.0,255.0,230.0,255.0,252.0,245.0,255.0,232.0
"[223.0, 206.0]",230.0,255.0,230.0,255.0,252.0,245.0,255.0,232.0
"[223.0, 208.0]",238.0,255.0,234.0,233.0,250.0,253.0,244.0,255.0
"[223.0, 209.0]",210.0,240.0,247.0,216.0,217.0,255.0,234.0,255.0
"[223.0, 210.0]",180.0,235.0,211.0,190.0,196.0,220.0,249.0,255.0
"[223.0, 211.0]",163.0,207.0,173.0,164.0,209.0,227.0,226.0,213.0
"[223.0, 211.0]",163.0,207.0,173.0,164.0,209.0,227.0,226.0,213.0
"[222.0, 213.0]",173.0,120.0,125.0,113.0,99.0,224.0,172.0,211.0
"[222.0, 214.0]",169.0,103.0,105.0,102.0,86.0,172.0,136.0,198.0
"[222.0, 215.0]",202.0,78.0,94.0,79.0,94.0,173.0,87.0,128.0
"[222.0, 216.0]",128.0,98.0,118.0,75.0,64.0,123.0,104.0,87.0
"[222.0, 216.0]",128.0,98.0,118.0,75.0,64.0,123.0,104.0,87.0
"[222.0, 218.0]",113.0,62.0,85.0,81.0,77.0,88.0,97.0,67.0
"[222.0, 218.0]",113.0,62.0,85.0,81.0,77.0,88.0,97.0,67.0
"[222.0, 219.0]",139.0,52.0,55.0,66.0,78.0,116.0,92.0,54.0
"[221.0, 221.0]",117.0,39.0,47.0,70.0,68.0,105.0,70.0,48.0
"[221.0, 222.0]",133.0,65.0,57.0,137.0,81.0,76.0,70.0,57.0
"[221.0, 222.0]",133.0,65.0,57.0,137.0,81.0,76.0,70.0,57.0
"[221.0, 224.0]",135.0,46.0,62.0,111.0,74.0,68.0,65.0,97.0
"[221.0, 225.0]",182.0,43.0,90.0,113.0,96.0,95.0,70.0,76.0
"[221.0, 225.0]",182.0,43.0,90.0,113.0,96.0,95.0,70.0,76.0
"[221.0, 227.0]",162.0,71.0,74.0,134.0,123.0,90.0,113.0,105.0
"[221.0, 228.0]",148.0,64.0,100.0,201.0,137.0,112.0,120.0,151.0
"[221.0, 229.0]",150.0,88.0,159.0,128.0,126.0,122.0,120.0,151.0
"[221.0, 229.0]",150.0,88.0,159.0,128.0,126.0,122.0,120.0,151.0
"[220.0, 231.0]",139.0,78.0,109.0,158.0,108.0,91.0,115.0,116.0
"[220.0, 231.0]",139.0,78.0,109.0,158.0,108.0,91.0,115.0,116.0
"[220.0, 232.0]",128.0,77.0,132.0,169.0,141.0,118.0,112.0,105.0
"[220.0, 233.0]",149.0,67.0,120.0,165.0,170.0,145.0,138.0,82.0
"[220.0, 235.0]",158.0,125.0,125.0,184.0,166.0,117.0,170.0,114.0
"[220.0, 236.0]",163.0,116.0,139.0,147.0,155.0,116.0,152.0,121.0
"[220.0, 237.0]",195.0,128.0,134.0,165.0,177.0,119.0,183.0,120.0
"[220.0, 237.0]",195.0,128.0,134.0,165.0,177.0,119.0,183.0,120.0
"[220.0, 238.0]",174.0,143.0,152.0,159.0,183.0,169.0,163.0,146.0
"[220.0, 240.0]",170.0,161.0,175.0,186.0,173.0,135.0,194.0,162.0
"[220.0, 241.0]",158.0,162.0,199.0,204.0,223.0,137.0,215.0,171.0
"[219.0, 241.0]",172.0,170.0,162.0,208.0,201.0,198.0,182.0,133.0
"[219.0, 242.0]",185.0,166.0,181.0,189.0,152.0,175.0,191.0,196.0
"[219.0, 244.0]",192.0,150.0,202.0,189.0,198.0,175.0,168.0,163.0
"[219.0, 245.0]",177.0,124.0,207.0,167.0,186.0,227.0,210.0,144.0
"[219.0, 245.0]",177.0,124.0,207.0,167.0,186.0,227.0,210.0,144.0
"[219.0, 247.0]",189.0,162.0,198.0,202.0,194.0,185.0,195.0,188.0
